report_id,type,serial,time,lat,long
13609,incident,196,2024-08-11 13:58:00,36.141666666666666,-5.99
13623,incident,197,2024-08-28 12:15:00,40.583333333333336,-8.983333333333333
13624,incident,198,2024-08-25 15:30:00,43.35,-9.1
13666,incident,199,2024-09-02 14:45:00,42.483333333333334,-8.95
13667,incident,200,2024-09-05 16:07:00,43.31666666666667,-8.97
13690,incident,201,2024-09-17 11:15:00,35.96666666666667,-5.533333333333333
13704,incident,202,2024-09-21 12:00:00,42.983333333333334,-9.3
13707,incident,203,2024-09-21 08:00:00,43.0085,-9.401483333333333
13720,incident,204,2024-09-21 15:34:00,43.1415,-9.258966666666666
13731,incident,205,2024-09-30 14:06:00,38.30535,-9.170116666666667
13777,incident,206,2024-10-04 09:50:00,42.3686,-8.8672
13861,incident,207,2024-10-30 18:05:00,38.99333333333333,-9.49
13996,incident,208,2024-11-19 15:13:00,38.8,-9.5
14173,incident,209,2025-01-22 15:00:00,35.82476666666667,-5.28305
14234,incident,210,2025-02-02 19:15:00,35.88601666666667,-5.8302
14663,incident,211,2024-06-24 10:03:00,37.625,-8.846666666666666
14742,incident,212,2025-05-07 10:55:00,38.3935,-9.005333333333333
14895,incident,213,2025-06-28 17:15:00,40.318983333333335,-8.88865
14963,incident,214,2025-07-08 11:45:00,43.61666666666667,-3.0166666666666666
15004,incident,216,2025-07-27 20:05:00,43.5739,-8.446083333333334
15062,incident,218,2025-08-10 01:15:00,42,-9
15072,incident,219,2025-08-18 15:30:00,43.17166666666667,-9.398333333333333
15087,incident,220,2025-08-23 09:40:00,42.516666666666666,-8.95
15174,incident,222,2025-09-15 13:00:00,38.66558333333333,-9.4107
15194,incident,223,2025-09-23 15:40:00,41.35,-8.816666666666666
15294,incident,224,2025-02-06 15:05:00,37.00033333333333,-8.009333333333334
